"-- Please select --","-- Por Favor Selecione --"
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","A moeda base é utilizada em todas as transações de pagamentos. O âmbito é definido pelo âmbito do preço de catálogo (Catálogo > Preço > Âmbito Preço Catálogo)"
"Can\'t convert rate from ""%s-%s"".","Não foi possível converter a taxa de ""%s-%s""."
"Cannot retrieve rate from %s.","Não foi possível obter a taxa de %s."
"Connection Timeout in Seconds","Tempo de espera da ligação terminado"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country API","API País"
"Country and Format Type combination should be unique","A combinação entre o País e o Tipo de Formato devem ser únicos"
"Currency","Moeda"
"Currency Options","Opções moeda"
"Currency Setup","Configurar moeda"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Default Display Currency","Mostrar moeda por omissão"
"Directory","Diretório"
"Display not required State","Mostrar Estado/Província se não obrigatório"
"Enabled","Ativo"
"Error Email Recipient","Email do Destinatário de Erros"
"Error Email Sender","Email do Remetente de Erros"
"Error Email Template","Template do Email de Erros"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service specified.","Serviço de importação especificado inválido."
"Invalid country code: %s","Código de País Inválido: %s"
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency.","Moeda de destino inválida."
"List of countries","Lista de Países"
"List of regions in specified country","Lista de regiões no país especificado"
"Postal Code is Optional for the following countries","O código postal é opcional para os seguintes países"
"Region","Região"
"Region API","API Região"
"Scheduled Import Settings","Configurações de Importação Agendadas"
"Select Your Currency","Selecione a sua moeda"
"Service","Serviço"
"Start Time","Tempo Início"
"State is required for","Estado é obrigatório para"
"State/Province","Região"
"States Options","Opções de Estados"
"Unable to initialize the import model.","Não foi possível iniciar o modelo de importação."
"Undefined rate from ""%s-%s"".","Taxa indefinida de ""%s-%s""."
"WARNING:","ATENÇÃO:"
"Webservicex","Webservicex"
"Your Currency","Sua Moeda"
"Your Currency:","Sua Moeda:"
"Your current currency is: %s","O diretório atual é: %s"
