" for more information or ","para mais informação ou "
"# of Items (and above)","# de itens (e superiores)"
"# of Items vs. Destination","# de Itens Vs. Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Múltiplos Endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar a tabelas de imposto."
"Calculate Handling Fee","Calcular Taxa Manuseamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"Country","País"
"Date","Data"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue a:"
"Description","Descrição"
"Displayed Error Message","Mensagem de erro mostrada"
"Divide to equal weight (one request)","Dividir para peso igual (um pedido)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Linha Duplicada #%s (País ""%s"", estado ""%s"", CP ""%s"" e valor ""%s"")."
"Enabled","Ativo"
"Error:","Erro:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","O ficheiro não foi importado. Verifique a seguinte lista de erros: %s"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Envio gratuito"
"Google Sitemap Section","Secção de Mapas do Sítio do Google"
"Handling Fee","Taxa Manuseamento"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" inválido na Linha #%s"
"Invalid Country ""%s"" in the Row #%s.","País Inválido ""%s"" na linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região/Estado inválido ""%s"" na Linha #%s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Preço de envio inválido ""%s"" na Linha #%s"
"Invalid Table Rate code for type %s: %s","Código da Tabela de Taxa inválido para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código da Tabela de Taxa inválido"
"Invalid Table Rates File Format","Formato da tabela de taxas inválido"
"Invalid Table Rates format in the Row #%s","Formato da tabela de imposto inválido na Linha #%s"
"Local Time","Hora Local"
"Location","Localização"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Quantidade máxima permitida no carrinho para envios de múltiplos endereços"
"Method Name","Nome Método"
"Minimum Order Amount","Montante Mínimo da Encomenda"
"N/A","N/D"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Subtotal da encomenda (e superior)"
"Origin","Origem"
"Per Order","Por Encomenda"
"Per Package","Por Pacote"
"Percent","Percentagem"
"Price","Preço"
"Price vs. Destination","Preço Vs. Destino"
"Region/State","Região/Estado"
"Service Type:","Tipo de Serviço:"
"Ship to Applicable Countries","Enviar para Países Aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
"Shipment #","Envio #"
"Shipment Tracking Popup","Janela de Monitorização do Envio"
"Shipped or billed on:","Enviado ou Faturado em:"
"Shipping Methods","Métodos de Envio"
"Shipping Methods Section","Secção de Métodos de Envio"
"Shipping Settings","Definições de Envio"
"Shipping Settings Section","Secção de Definições de Envio"
"Show Method if Not Applicable","Mostrar Método se não Aplicável"
"Signed by:","Assinado por:"
"Sort Order","Ordenação"
"Status:","Estado:"
"Store Pickup","Levantamento na Loja"
"Street Address","Endereço"
"Street Address Line 2","Endereço (linha 2)"
"Table Rates","Tabelas Fixas"
"The shipping module is not available for selected delivery country.","O módulo de envio não se encontra disponível para entrega no país especificado."
"The shipping module is not available.","O Método de Envio não está disponível"
"There is no tracking available for this shipment.","Não existe monitorização disponível para este envio."
"There is no tracking available.","Não existe monitorização disponível"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio está atualmente indisponível. Se ainda assim desejar utilizar este método de envio, por favor entre em contacto connosco"
"This shipping method is not available, please specify ZIP-code","O Método de Envio não está disponível, por favor especifique o código-postal"
"Title","Título"
"Track:","Monitorizar:"
"Tracking Information","Informação de Monitorização"
"Tracking Number:","Número Monitorização:"
"Tracking information is currently not available. Please ","Informação de monitorização não está disponível. Por favor "
"Tracking information is currently unavailable.","A Informação de Monitorização está atualmente indisponível"
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso origem (menos pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso Vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","Contacte-nos"
"email us at ","envie-nos um email para "
